"","X","new_id","retweets","favorites","text","ss_compound","topic","Open","High","Low","Close","Adj.Close","Volume","delta","presidency"
"1","2009-05-04",1,500,868,"be sure to tune in and watch donald trump on late night with david letterman a he present the top ten list tonight",0.4767,"business",879.210022,907.849976,879.210022,907.23999,907.23999,7038840000,1,"before"
"2","2009-05-05",2,33,273,"donald trump will be appearing on the view tomorrow morning to discus celebrity apprentice and his new book think like a champion",0.7506,"business",906.099976,907.700012,897.340027,903.799988,903.799988,6882860000,0,"before"
"3","2009-05-08",6,23,42,"donald trump read top ten financial tip on late show with david letterman very funny new blog post celebrity apprentice finale and lesson learned along the way",0.6115,"business",909.030029,930.169983,909.030029,929.22998,929.22998,8163280000,1,"before"
"4","2009-05-12",8,1426,1991,"my persona will never be that of a wallflower i u 2019 d rather build wall than cling to them donald j trump miss usa tara conner will not be fired i ve always been a believer in second chance say donald trump",0.5145,"business",910.52002,915.570007,896.460022,908.349976,908.349976,6871750000,0,"before"
"5","2009-05-13",5,14,16,"listen to an interview with donald trump discussing his new book think like a champion",0.7506,"domestic affair",905.400024,905.400024,882.799988,883.919983,883.919983,7091820000,0,"before"
"6","2009-05-14",6,18,25,"strive for wholeness and keep your sense of wonder intact donald j trump",0.2023,"business",884.23999,898.359985,882.52002,893.070007,893.070007,6134870000,1,"before"
"7","2009-05-15",7,14,8,"enter the think like a champion signed book and keychain contest",0.7506,"business",892.76001,896.969971,878.940002,882.880005,882.880005,5439720000,0,"before"
"8","2009-05-18",9,64,102,"we win in our life by having a champion s view of each moment donald j trump",0.8271,"business",886.070007,910,886.070007,909.710022,909.710022,5702150000,1,"before"
"9","2009-05-19",10,18,17,"these day we could all use a little of the power of trumpative thinking u 2013 barnesandnoble com",0,"business",909.669983,916.390015,905.219971,908.130005,908.130005,6616270000,0,"before"
"10","2009-05-20",11,29,53,"always know you could be on the precipice of something great donald j trump",0.6249,"personal",908.619995,924.599976,901.369995,903.469971,903.469971,8205060000,0,"before"
"11","2009-05-21",12,8,10,"read a great interview with donald trump that appeared in the new york time magazine",0.6249,"business",900.419983,900.419983,879.609985,888.330017,888.330017,6019840000,0,"before"
"12","2009-05-22",26,64,74,"keep it fast short and direct whatever it is donald j trump don t forget to enter the think like a champion signed book and keychain contest",0.6705,"business",888.679993,896.650024,883.75,887,887,5155320000,0,"before"
"13","2009-05-26",15,42,73,"your higher self is in direct opposition to your comfort zone donald j trump",0.3612,"personal",887,911.76001,881.460022,910.330017,910.330017,5667050000,1,"before"
"14","2009-05-27",16,4,12,"read an excerpt from think like a champion by donald j trump",0.7506,"business",909.950012,913.840027,891.869995,893.059998,893.059998,5698800000,0,"before"
"15","2009-05-28",17,61,57,"you have to know when to call it quits and when to keep moving forward donald j trump",0,"foreign affair",892.960022,909.450012,887.599976,906.830017,906.830017,5738980000,1,"before"
"16","2009-06-03",18,14,20,"check out donald trump s new igoogle showcase page",0,"personal",942.51001,942.51001,923.849976,931.76001,931.76001,5323770000,0,"before"
"17","2009-06-05",19,12,31,"u 201c if you don t have problem you re pretending or you don t run your own business u 201d u 2013 donald j trump",-0.3182,"business",945.669983,951.690002,934.130005,940.090027,940.090027,5277910000,0,"before"
"18","2009-06-08",20,9,3,"last week to enter the think like a champion signed book and keychain contest",0.7506,"business",938.119995,946.330017,926.440002,939.140015,939.140015,4483430000,0,"before"
"19","2009-06-16",22,36,36,"thanks to all for your thoughtful birthday wish u 2013 donald trump",0.802,"business",925.599976,928,911.599976,911.969971,911.969971,4951200000,0,"before"
"20","2009-06-18",23,18,17,"re fb vanity url sf chronicle david beckham wa one of the first along with britney spear donald trump",-0.2263,"foreign affair",910.859985,921.929993,907.940002,918.369995,918.369995,4684010000,1,"before"
"21","2009-06-23",25,13,10,"u 201c expand your life every day u 201d u 2013 donald j trump",0.3182,"business",893.460022,898.690002,888.859985,895.099976,895.099976,5071020000,1,"before"
"22","2009-06-25",26,27,15,"donald trump u 2019 s commercial free wwe raw doe big rating",0.5106,"business",899.450012,921.419983,896.27002,920.26001,920.26001,4911240000,1,"before"
"23","2009-06-26",27,86,221,"re michael jackson he wa a great friend and a spectacular entertainer it u 2019 s a devastating loss donald j trump",0.5106,"business",918.840027,922,913.030029,918.900024,918.900024,6076660000,0,"before"
"24","2009-06-30",28,4,7,"watch a powerful and frank interview with donald trump about the economy on greta van susteren s on the record",0.4215,"domestic affair",927.150024,930.01001,912.859985,919.320007,919.320007,4627570000,0,"before"
"25","2009-07-13",30,14,27,"be aware of thing that seem inexplicable because they can be a big step towards innovation donald j trump",0.3818,"domestic affair",879.570007,901.049988,875.320007,901.049988,901.049988,4499440000,1,"before"
"26","2009-07-15",31,6,6,"donald trump back apprentice randal pinkett for n j lieutenant governor",0,"business",910.150024,933.950012,910.150024,932.679993,932.679993,5238830000,1,"before"
"27","2009-07-22",32,9,10,"congrats to winner from around the world who entered the think like a champion signed bookkeychain contest",0.9274,"business",953.400024,959.830017,947.75,954.070007,954.070007,4634100000,0,"before"
"28","2009-07-28",33,30,26,"check out a list of donald trump s book for summer reading at the trump university blog",0,"business",981.47998,982.349976,969.349976,979.619995,979.619995,5490350000,0,"before"
"29","2009-08-04",34,32,18,"browse donald trump s summer reading list for business success at the trump university blog",0.5719,"business",1001.409973,1007.119995,996.679993,1005.650024,1005.650024,5713700000,1,"before"
"30","2009-08-11",35,27,26,"think that u 2019 s the first step use all your power to utilize and develop that capability donald j trump",0,"personal",1005.77002,1005.77002,992.400024,994.349976,994.349976,5773160000,0,"before"
"31","2009-08-14",36,34,35,"ivanka is now on twitter you can follow her ivankatrump have a terrific weekend",0.4767,"business",1012.22998,1012.599976,994.599976,1004.090027,1004.090027,4940750000,0,"before"
"32","2009-08-20",37,4,8,"watch donald trump s recent appearance on the late show with david letterman",0,"business",996.409973,1008.919983,996.390015,1007.369995,1007.369995,4893160000,1,"before"
"33","2009-08-21",38,15,6,"watch the miss universe competition live from the bahamas sunday pm et on nbc",-0.1531,"business",1009.059998,1027.589966,1009.059998,1026.130005,1026.130005,5885550000,1,"before"
"34","2009-09-01",41,56,58,"more hysterical dsrl video featuring donald trump and double trump plus enter golden lick race sweepstakes",-0.101,"business",1019.52002,1028.449951,996.280029,998.039978,998.039978,6862360000,0,"before"
"35","2009-09-14",42,29,36,"read donald trump s top ten tip for success",0.6705,"business",1040.150024,1049.73999,1035,1049.339966,1049.339966,4979610000,1,"before"
"36","2009-09-29",43,58,80,"a lot of people have imagination but can t execute you have to execute with the imagination donald j trump",0,"business",1063.689941,1069.619995,1057.829956,1060.609985,1060.609985,4949900000,0,"before"
"37","2009-10-05",44,8,8,"read what donald trump ha to say about daughter ivanka s upcoming new book the trump card",0.34,"business",1026.869995,1042.579956,1025.920044,1040.459961,1040.459961,4313310000,1,"before"
"38","2009-10-14",45,11,10,"watch video of ivanka trump sharing business advice with entrepreneurial woman on gma",0.4215,"business",1078.680054,1093.170044,1078.680054,1092.02002,1092.02002,5406420000,1,"before"
"39","2009-10-22",46,6,5,"hear donald trump discus big gov spending bank tax on your world wneil cavuto",0,"domestic affair",1080.959961,1095.209961,1074.310059,1092.910034,1092.910034,5192410000,1,"before"
"40","2009-10-27",47,8,11,"from donald trump ivanka and jared u 2019 s wedding wa spectacular and they make a beautiful couple i u 2019 m a very proud father",0.807,"business",1067.540039,1072.47998,1060.619995,1063.410034,1063.410034,5337380000,0,"before"
"41","2009-11-02",48,12,10,"work ha begun ahead of schedule to build the greatest golf course in history trump international u 2013 scotland",0.765,"business",1036.180054,1052.180054,1029.380005,1042.880005,1042.880005,6202640000,1,"before"
"42","2009-11-16",49,16,5,"donald trump partner with tv on new reality series entitled omarosa s ultimate merger",0.2732,"business",1094.130005,1113.689941,1094.130005,1109.300049,1109.300049,4565850000,1,"before"
"43","2009-12-03",51,40,8,"trump international tower in chicago ranked th tallest building in world by council on tall building urban habitat",0,"business",1110.589966,1117.280029,1098.73999,1099.920044,1099.920044,4810030000,0,"before"
"44","2009-12-23",52,226,233,"from donald trump wishing everyone a wonderful holiday a happy healthy prosperous new year let u 2019 s think like champion in",0.9726,"business",1118.839966,1121.579956,1116,1120.589966,1120.589966,3166870000,1,"before"
"45","2010-01-12",53,29,9,"celebrity apprentice return to nbc sunday pm etpt outstanding list of celebrity season should be the best one yet",0.8481,"business",1143.810059,1143.810059,1131.77002,1136.219971,1136.219971,4716160000,0,"before"
"46","2010-01-15",54,262,305,"trump tycoon app for iphone ipod touch it s but the advice is priceless",0,"business",1147.719971,1147.77002,1131.390015,1136.030029,1136.030029,4758730000,0,"before"
"47","2010-01-21",55,8957,8117,"from donald trump i saw lady gaga last night and she wa fantastic",0.5574,"business",1138.680054,1141.579956,1114.839966,1116.47998,1116.47998,6874290000,0,"before"
"48","2010-01-22",56,18,3,"golf channel donald trump s world of golf host a celebrity match tngc la ca mark wahlberg v kevin dillon",0,"business",1115.48999,1115.48999,1090.180054,1091.76001,1091.76001,6208650000,0,"before"
"49","2010-02-10",58,12,5,"donald trump appearing today on cnn international u 2019 s u 2018 connect the world u 2019 a u 2018 connector of the day u 2019 submit question",0,"election",1069.680054,1073.670044,1059.339966,1068.130005,1068.130005,4251450000,0,"before"
"50","2010-02-11",59,19,4,"donald trump appeared on the final episode of the jay leno show to deliver a very special message",0.4576,"domestic affair",1067.099976,1080.040039,1060.589966,1078.469971,1078.469971,4400870000,1,"before"
"51","2010-02-26",60,28,23,"from donald trump u 201c i u 2019 m so proud of my wife melania and the launch of her new jewelry line to debut on qvc on april th at p m u 201d",0.6113,"domestic affair",1103.099976,1107.23999,1097.560059,1104.48999,1104.48999,3945190000,1,"before"
"52","2010-03-05",61,11,10,"from donald trump andrea bocelli mar a lago many say best night of entertainment in long history of palm beach",0.7906,"business",1125.119995,1139.380005,1125.119995,1138.699951,1138.699951,4.133e+09,1,"before"
