date,Unnamed: 0,new_id,retweets,favorites,ss_compound
2009-05-04,1.0,1.0,500.0,868.0,0.5255
2009-05-05,2.0,2.0,33.0,273.0,0.7712
2009-05-08,3.5,3.0,11.5,21.0,0.3234
2009-05-12,5.5,4.0,713.0,995.5,0.24045
2009-05-13,7.0,5.0,14.0,16.0,0.7506
2009-05-14,8.0,6.0,18.0,25.0,0.2023
2009-05-15,9.0,7.0,14.0,8.0,0.7506
2009-05-17,10.5,8.0,29.0,57.5,0.38585
2009-05-18,12.0,9.0,64.0,102.0,0.5859
2009-05-19,13.0,10.0,18.0,17.0,0.0
2009-05-20,14.0,11.0,29.0,53.0,0.6249
2009-05-21,15.0,12.0,8.0,10.0,0.6249
2009-05-22,16.5,13.0,32.0,37.0,0.3972
2009-05-23,18.0,14.0,54.0,77.0,0.3802
2009-05-26,19.0,15.0,42.0,73.0,0.3612
2009-05-27,20.0,16.0,4.0,12.0,0.7506
2009-05-28,21.0,17.0,61.0,57.0,0.0
2009-06-03,22.0,18.0,14.0,20.0,0.0
2009-06-05,23.0,19.0,12.0,31.0,0.3935
2009-06-08,24.0,20.0,9.0,3.0,0.7506
2009-06-14,25.0,21.0,17.0,16.0,0.2244
2009-06-16,26.0,22.0,36.0,36.0,0.7269
2009-06-18,27.0,23.0,18.0,17.0,-0.2263
2009-06-21,28.0,24.0,62.0,122.0,0.8687
2009-06-23,29.0,25.0,13.0,10.0,0.0
2009-06-25,30.0,26.0,27.0,15.0,0.0
2009-06-26,31.0,27.0,86.0,221.0,0.5562
2009-06-30,32.0,28.0,4.0,7.0,0.4215
2009-07-05,33.0,29.0,25.0,30.0,0.8777
2009-07-13,34.0,30.0,14.0,27.0,0.3818
2009-07-15,35.0,31.0,6.0,6.0,-0.0516
2009-07-22,36.0,32.0,9.0,10.0,0.9215
2009-07-28,37.0,33.0,30.0,26.0,0.0
2009-08-04,38.0,34.0,32.0,18.0,0.5719
2009-08-11,39.0,35.0,27.0,26.0,0.0
2009-08-14,40.0,36.0,34.0,35.0,0.5255
2009-08-20,41.0,37.0,4.0,8.0,0.0
2009-08-21,42.0,38.0,15.0,6.0,-0.1531
2009-08-23,43.0,39.0,10.0,12.0,-0.1531
2009-08-29,44.0,40.0,264.0,373.0,0.0
2009-09-01,45.0,41.0,56.0,58.0,-0.101
2009-09-14,46.0,42.0,29.0,36.0,0.6705
2009-09-29,47.0,43.0,58.0,80.0,0.0
2009-10-05,48.0,44.0,8.0,8.0,0.0
2009-10-14,49.0,45.0,11.0,10.0,0.4215
2009-10-22,50.0,46.0,6.0,5.0,0.0
2009-10-27,51.0,47.0,8.0,11.0,0.807
2009-11-02,52.0,48.0,12.0,10.0,0.6369
2009-11-16,53.0,49.0,16.0,5.0,0.2732
2009-11-26,54.0,50.0,221.0,573.0,0.7339
2009-12-03,55.0,51.0,40.0,8.0,0.0
2009-12-23,56.0,52.0,226.0,233.0,0.9719
2010-01-12,57.0,53.0,29.0,9.0,0.8588
2010-01-15,58.0,54.0,262.0,305.0,0.0
2010-01-21,59.0,55.0,8957.0,8117.0,0.5983
2010-01-22,60.0,56.0,18.0,3.0,0.0
2010-02-07,61.0,57.0,31.0,21.0,0.952
2010-02-10,62.0,58.0,12.0,5.0,0.0
2010-02-11,63.0,59.0,19.0,4.0,0.4576
2010-02-26,64.0,60.0,28.0,23.0,0.6113
2010-03-05,65.0,61.0,11.0,10.0,0.7906
2010-03-12,66.0,62.0,25.0,9.0,0.6696
2010-03-15,67.0,63.0,27.0,7.0,0.6249
2010-03-17,68.0,64.0,17.0,8.0,0.7717
2010-03-18,69.0,65.0,47.0,15.0,0.743
2010-03-19,70.0,66.0,14.0,3.0,0.8221
2010-03-23,71.0,67.0,19.0,11.0,0.7184
2010-03-24,72.0,68.0,49.0,17.0,0.3182
2010-03-29,73.0,69.0,32.0,34.0,0.0
2010-03-31,74.0,70.0,23.0,7.0,0.1695
2010-04-01,75.0,71.0,11.0,5.0,0.9259
2010-04-06,77.0,72.0,14.333333333333334,8.666666666666666,0.6281
2010-04-07,79.0,73.0,15.0,4.0,0.5983
2010-04-09,80.0,74.0,14.0,9.0,0.8733
2010-04-12,81.0,75.0,17.0,7.0,0.8777
2010-04-13,82.0,76.0,94.0,46.0,0.636
2010-04-14,83.0,77.0,34.0,19.0,0.7474
2010-04-16,84.0,78.0,17.0,9.0,0.34
2010-04-20,85.0,79.0,133.0,133.0,0.0
2010-04-21,86.0,80.0,3321.0,5260.0,0.7088
2010-04-22,87.0,81.0,24.0,7.0,0.8268
2010-04-23,88.0,82.0,29.0,4.0,0.5848
2010-04-26,89.0,83.0,68.0,16.0,0.0
2010-04-28,90.0,84.0,16.0,11.0,0.7712
2010-04-29,91.0,85.0,31.0,16.0,0.7717
2010-04-30,92.0,86.0,20.0,8.0,0.8689
2010-05-03,94.0,87.0,12.0,9.333333333333334,0.26363333333333333
2010-05-05,96.0,88.0,43.0,11.0,0.9117
2010-05-13,97.0,89.0,22.0,7.0,-0.1531
2010-05-17,98.0,90.0,105.0,167.0,0.8957
