date,new_id,notweets,retweets,favorites,text,ss_min,ss_max,ss_compound,presidency,delta_1day,delta_2day
5/4/2009,1,1,500,868,Be sure to tune in and watch Donald Trump on Late Night with David Letterman as he presents the Top Ten List tonight!,0.5255,0.5255,0.5255,1,1,1
5/5/2009,2,1,33,273,Donald Trump will be appearing on The View tomorrow morning to discuss Celebrity Apprentice and his new book Think Like A Champion!,0.7712,0.7712,0.7712,1,0,1
5/8/2009,3,2,11,18,Donald Trump reads Top Ten Financial Tips on Late Show with David Letterman:  - Very funny!,0,0.6468,0.3234,1,1,1
5/12/2009,4,2,27,26,Miss USA Tara Conner will not be fired - I've always been a believer in second chances. says Donald Trump,0,0.4809,0.24045,1,0,0
5/13/2009,5,1,14,16,"Listen to an interview with Donald Trump discussing his new book, Think Like A Champion: ",0.7506,0.7506,0.7506,1,0,0
5/14/2009,6,1,18,25,Strive for wholeness and keep your sense of wonder intact. --Donald J. Trump ,0.2023,0.2023,0.2023,1,1,0
5/15/2009,7,1,14,8,Enter the Think Like A Champion signed book and keychain contest: ,0.7506,0.7506,0.7506,1,0,0
5/17/2009,8,2,20,48,Don<U+2019>t be afraid of being unique - it's like being afraid of your best self. --Donald J. Trump ,0,0.7717,0.38585,1,,
5/18/2009,9,1,64,102,We win in our lives by having a champion's view of each moment. --Donald J. Trump ,0.5859,0.5859,0.5859,1,1,1
5/19/2009,10,1,18,17,...these days...we could all use a little of the power of Trumpative thinking. <U+2013>BarnesandNoble.com ,0,0,0,1,0,1
5/20/2009,11,1,29,53,Always know you could be on the precipice of something great. --Donald J. Trump ,0.6249,0.6249,0.6249,1,0,0
5/21/2009,12,1,8,10,Read a great interview with Donald Trump that appeared in The New York Times Magazine: ,0.6249,0.6249,0.6249,1,0,0
5/22/2009,13,2,12,4,Don't forget to enter the Think Like A Champion signed book and keychain contest: ,0,0.7944,0.3972,1,0,0
5/23/2009,14,1,54,77,Did you know Donald Trump is on Facebook?  - Become a fan today!,0.3802,0.3802,0.3802,1,,
5/26/2009,15,1,42,73,Your higher self is in direct opposition to your comfort zone. --Donald J. Trump ,0.3612,0.3612,0.3612,1,1,1
5/27/2009,16,1,4,12,Read an excerpt from Think Like A Champion by Donald J. Trump: ,0.7506,0.7506,0.7506,1,0,1
5/28/2009,17,1,61,57,You have to know when to call it quits and when to keep moving forward. --Donald J. Trump ,0,0,0,1,1,0
6/3/2009,18,1,14,20,Check out Donald Trump's new iGoogle Showcase page: ,0,0,0,1,0,0
6/5/2009,19,1,12,31,"<U+201C>If you don't have problems, you're pretending or you don't run your own business.<U+201D> <U+2013>Donald J. Trump ",0.3935,0.3935,0.3935,1,0,1
6/8/2009,20,1,9,3,Last week to enter the Think Like A Champion signed book and keychain contest: ,0.7506,0.7506,0.7506,1,0,0
6/14/2009,21,1,17,16,Today is Donald Trump's Birthday! Send him your B'day wishes here: ,0.2244,0.2244,0.2244,1,,
6/16/2009,22,1,36,36,Thanks to all for your thoughtful birthday wishes <U+2013> Donald Trump,0.7269,0.7269,0.7269,1,0,0
6/18/2009,23,1,18,17,"RE: FB Vanity URLs: SF Chronicle - David Beckham was one of the first, along with Britney Spears & Donald Trump. ",-0.2263,-0.2263,-0.2263,1,1,1
6/21/2009,24,1,62,122,- Wishing a Happy Father's Day to all the Dad's out there - YOU are a champion today and everyday! ,0.8687,0.8687,0.8687,1,,
6/23/2009,25,1,13,10,<U+201C>Expand your life every day.<U+201D> <U+2013>Donald J. Trump ,0,0,0,1,1,0
6/25/2009,26,1,27,15,Donald Trump<U+2019>s commercial-free WWE Raw does big rating: ,0,0,0,1,1,1
6/26/2009,27,1,86,221,RE: Michael Jackson: He was a great friend and a spectacular entertainer. It<U+2019>s a devastating loss! -Donald J. Trump,0.5562,0.5562,0.5562,1,0,1
6/30/2009,28,1,4,7,Watch a powerful and frank interview with Donald Trump about the economy on Greta Van Susteren's On The Record: ,0.4215,0.4215,0.4215,1,0,1
7/5/2009,29,1,25,30,Here's to a safe and happy Independence Day for one and all - Enjoy it! --Donald J. Trump,0.8777,0.8777,0.8777,1,,
7/13/2009,30,1,14,27,Be aware of things that seem inexplicable because they can be a big step towards innovation. --Donald J. Trump ,0.3818,0.3818,0.3818,1,1,1
7/15/2009,31,1,6,6,Donald Trump backs 'Apprentice' Randal Pinkett for N.J. Lieutenant Governor: ,-0.0516,-0.0516,-0.0516,1,1,1
7/22/2009,32,1,9,10,Congrats to winners from around the world who entered the Think Like A Champion signed bookkeychain contest! ,0.9215,0.9215,0.9215,1,0,1
7/28/2009,33,1,30,26,Check out a list of Donald Trump's books for summer reading at the Trump University Blog: ,0,0,0,1,0,1
8/4/2009,34,1,32,18,Browse Donald Trump's Summer Reading List for Business Success at the Trump University Blog: ,0.5719,0.5719,0.5719,1,1,1
8/11/2009,35,1,27,26,Think. That<U+2019>s the first step. Use all your power to utilize and develop that capability --Donald J. Trump ,0,0,0,1,0,0
8/14/2009,36,1,34,35,Ivanka is now on Twitter - You can follow her @ IvankaTrump - Have a terrific weekend!,0.5255,0.5255,0.5255,1,0,0
8/20/2009,37,1,4,8,-- Watch Donald Trump's recent appearance on The Late Show with David Letterman: ,0,0,0,1,1,1
8/21/2009,38,1,15,6,"Watch the Miss Universe competition LIVE from the Bahamas - Sunday,  @pm (ET) on NBC: ",-0.1531,-0.1531,-0.1531,1,1,1
8/23/2009,39,1,10,12,Reminder: The Miss Universe competition will be LIVE from the Bahamas - Tonight @pm (EST) on NBC: ,-0.1531,-0.1531,-0.1531,1,,
8/29/2009,40,1,264,373,- Donald Trump bids to buy the Oreo Double Stuf Racing League. Check it out: ,0,0,0,1,,
9/1/2009,41,1,56,58,- More hysterical DSRL videos featuring Donald Trump and Double Trump plus enter Golden Lick Race Sweepstakes: ,-0.101,-0.101,-0.101,1,0,0
9/14/2009,42,1,29,36,Read Donald Trump's Top Ten Tips for Success: ,0.6705,0.6705,0.6705,1,1,1
9/29/2009,43,1,58,80,"A lot of people have imagination, but can't execute--you have to execute with the imagination. --Donald J. Trump ",0,0,0,1,0,1
10/5/2009,44,1,8,8,"- Read what Donald Trump has to say about daughter Ivanka's upcoming new book, The Trump Card: ",0,0,0,1,1,1
10/14/2009,45,1,11,10,Watch video of Ivanka Trump sharing business advice with  entrepreneurial women on GMA: ,0.4215,0.4215,0.4215,1,1,1
10/22/2009,46,1,6,5,"Hear Donald Trump discuss big gov spending, banks, & taxes on Your World wNeil Cavuto: ",0,0,0,1,1,1
10/27/2009,47,1,8,11,#NAME?,0.807,0.807,0.807,1,0,0
11/2/2009,48,1,12,10,#NAME?,0.6369,0.6369,0.6369,1,1,0
11/16/2009,49,1,16,5,"Donald Trump Partners with TV on New Reality Series Entitled, Omarosa's Ultimate Merger: ",0.2732,0.2732,0.2732,1,1,1
11/26/2009,50,1,221,573,Wishing you and yours a very Happy and Bountiful Thanksgiving!,0.7339,0.7339,0.7339,1,,
12/3/2009,51,1,40,8,Trump International Tower in Chicago ranked th tallest building in world by Council on Tall Buildings & Urban Habitat ,0,0,0,1,0,0
12/23/2009,52,1,226,233,"From Donald Trump: Wishing everyone a wonderful holiday & a happy, healthy, prosperous New Year. Let<U+2019>s think like champions in !",0.9719,0.9719,0.9719,1,1,1
1/12/2010,53,1,29,9,"Celebrity Apprentice returns to NBC, Sunday, , -PM ETPT. Outstanding list of celebrities & season should be the best one yet!",0.8588,0.8588,0.8588,1,0,0
1/15/2010,54,1,262,305,Trump Tycoon App for iPhone & iPod Touch - It's $. but the advice is priceless! ,0,0,0,1,0,0
1/21/2010,55,1,8957,8117,from Donald Trump: I saw Lady Gaga last night and she was fantastic!,0.5983,0.5983,0.5983,1,0,0
1/22/2010,56,1,18,3,"Golf Channel & Donald Trump's World of Golf host a Celebrity Match  @TNGC LA, CA - Mark Wahlberg vs. Kevin Dillon ",0,0,0,1,0,0
2/7/2010,57,1,31,21,"Superbowl Sunday is a great American tradition. The Colts and Saints are already champions, but may the best team win!",0.952,0.952,0.952,1,,
2/10/2010,58,1,12,5,Donald Trump appearing today on CNN International<U+2019>s <U+2018>Connect the World<U+2019> as <U+2018>Connector of the Day<U+2019>. Submit questions: ,0,0,0,1,0,1
2/11/2010,59,1,19,4,Donald Trump appeared on the final episode of The Jay Leno Show to deliver a very special message: ,0.4576,0.4576,0.4576,1,1,1
2/26/2010,60,1,28,23,"From Donald Trump: <U+201C>I<U+2019>m so proud of my wife Melania and the launch of her new jewelry line, to debut on QVC on April th at  p.m.<U+201D>",0.6113,0.6113,0.6113,1,1,0
3/5/2010,61,1,11,10,From Donald Trump: Andrea Bocelli @Mar-a-Lago - Many say best night of entertainment in long history of Palm Beach ,0.7906,0.7906,0.7906,1,1,1
3/12/2010,62,1,25,9,"The Celebrity Apprentice has a two-hour premiere this Sunday, March th, at  p.m. on NBC. This will be the best season yet, see you then!",0.6696,0.6696,0.6696,1,0,1
3/15/2010,63,1,27,7,The new season of the Celebrity Apprentice is off to a great start-- last night it swept the  p.m. hour in every key demographic.,0.6249,0.6249,0.6249,1,1,1
3/17/2010,64,1,17,8,Olympic Gold Medalist Evan Lysacek just left my office. He is in town and wanted to meet me--he's a fanastic guy and a true champion.,0.7717,0.7717,0.7717,1,1,1
3/18/2010,65,1,47,15,I am happy to announce that theoriginal Apprentice --which will offer job opportunities to those in need--is coming back.,0.743,0.743,0.743,1,0,1
3/19/2010,66,1,14,3,Last week's episode of the Celebrity Apprentice set the stage for a great new season. Tune in this Sunday on NBC for even more excitement.,0.8221,0.8221,0.8221,1,0,0
3/23/2010,67,1,19,11,"The Trump Hotel Collection is currently nominated for Conde Nast Traveler Readers Choice Awards, Travel & Leisure and World Travel Awards.",0.7184,0.7184,0.7184,1,1,1
3/24/2010,68,1,49,17,The original Apprentice is coming back--do you have what it takes to be the next Apprentice? For casting details: ,0.3182,0.3182,0.3182,1,0,1
3/29/2010,69,1,32,34,"The NYC casting call for The Apprentice is thisThursday, April  at Trump Tower. For all the information you need, go to NBC.comcasting.",0,0,0,1,1,1
3/31/2010,70,1,23,7,Don't forget the open call at Trump Tower tomorrow for The Apprentice. I look forward to seeing you there.,0.1695,0.1695,0.1695,1,0,0
4/1/2010,71,1,11,5,"Today's open call drew thousands of eager applicants. It was an impressive group, I enjoyed meeting them. We've got some great candidates!",0.9259,0.9259,0.9259,1,1,1
4/6/2010,72,3,5,5,"Last night Melania and I attended the Skating with the Stars Gala at Wollman Rink in Central Park, it was fantastic. Stay tuned for Part ..",0.3818,0.9451,0.6281,1,1,1
4/7/2010,73,1,15,4,Trump SoHo opens this Friday and it is fantastic! Check out the Trump Hotel Collection... ,0.5983,0.5983,0.5983,1,0,0
4/9/2010,74,1,14,9,This is a terrific day for downtown New York. Trump SoHo is unlike anything else. Be sure to visit this fantastic hotel soon!,0.8733,0.8733,0.8733,1,1,1
4/12/2010,75,1,17,7,The premiere of Donald J. Trump's Fabulous World of Golf is tomorrow night at  p.m. ET on Golf Channel. Tune in for a great adventure!,0.8777,0.8777,0.8777,1,1,1
4/13/2010,76,1,94,46,Looking forward to seeing the World Champion Yankees today on opening day!,0.636,0.636,0.636,1,1,1
4/14/2010,77,1,34,19,"Before Kids Can Go Places, They Need a Place To Go -- the motto of The Police Athletic League, an organization I'm very proud to support",0.7474,0.7474,0.7474,1,1,1
4/16/2010,78,1,17,9,"On Sunday, Jerome Bettis 'the bus' from the Pittsburgh Steelers will play at Trump Int'l Golf ClubPalm Beach against Julius Erving 'Dr J'",0.34,0.34,0.34,1,0,0
4/20/2010,79,1,133,133,Tune in to The Marriage Ref onThursday night at  p.m. on NBC--I'm on the panel of experts along with Gloria Estefan & Adam Carolla.,0,0,0,1,1,1
4/21/2010,80,1,3321,5260,Melania and I saw American Idiot on Broadway last night and it was great. An amazing theatrical experience!,0.7088,0.7088,0.7088,1,0,1
4/22/2010,81,1,24,7,Melania and I will be appearing on The View tomorrow at  a.m. on CBS. Tune in for some great fun!,0.8268,0.8268,0.8268,1,1,1
4/23/2010,82,1,29,4,"To put on your calendar for May: Miss USA , live from Las Vegas on May th,  p.m. ET on NBC. I'll be there--tune in for a great show!",0.5848,0.5848,0.5848,1,1,1
4/26/2010,83,1,68,16,Our thoughts and prayers remain with Bret Michaels and his family and for his speedy recovery.,0,0,0,1,0,1
4/28/2010,84,1,16,11,"Melania and I will be appearing on Larry King Live tonight,  p.m. on CNN. Be sure to tune in for some great conversation!",0.7712,0.7712,0.7712,1,1,0
4/29/2010,85,1,31,16,Melania will be on QVC tomorrow night at  p.m. ET to introduce her beautiful and inspiring Melania Timepieces & Fashion Jewelry collection.,0.7717,0.7717,0.7717,1,1,1
4/30/2010,86,1,20,8,Be sure to look for my beautiful wife Melania Trump tonight on QVC at  pm ET where she will be debuting her fantastic jewelry collection.,0.8689,0.8689,0.8689,1,0,0
5/3/2010,87,3,8,5,Also appearing on the Miss USA Pageant will be Country Superstar Trace Adkins and Pop Rock Sensation Boys Like Girls...,-0.1531,0.7177,0.263633333,1,1,0
5/5/2010,88,1,43,11,We're all very happy to hear of Bret Michael's progress and send our best wishes for his full recovery.,0.9117,0.9117,0.9117,1,0,0
5/13/2010,89,1,22,7,"Looking forward to the  Miss USA Pageant, Sunday May  on NBC,  p.m. ET, hosted by Curtis Stone & Natalie Morales live from Las Vegas.",-0.1531,-0.1531,-0.1531,1,0,1
5/17/2010,90,1,105,167,"Congratulations to our new Miss USA, the beautiful Rima Fakih. Rima will represent us well at Miss Universe and be a wonderful Miss USA .",0.8957,0.8957,0.8957,1,1,0
5/19/2010,91,1,22,6,Put this on your calendar: The Celebrity Apprentice live finale is this Sunday at  p.m. on NBC. Who will be the next Celebrity Apprentice?,0,0,0,1,0,0
5/20/2010,92,2,23,6,"Check out Ivanka's new FaceBook page and keep up with what's happening--from The Celebrity Apprentice, to jewlery to free tickets and more..",0,0.5106,0.2553,1,0,0
5/21/2010,93,1,18,21,Who's your pick-- @ bretmichaels or @ hollyrpeete ? Vote now on Ivanka's new Facebook page! ,0,0,0,1,1,0
5/24/2010,94,1,57,20,"Congratulations to Bret Michaels, the new Celebrity Apprentice. Bret's a true champion, all of us were happy to see him and to see him win!",0.9606,0.9606,0.9606,1,0,1
5/25/2010,95,2,14,7,Ivanka caught up with Bret and Holly backstage. Both Bret and Holly were champions all the way. ,0.5267,0.9381,0.7324,1,1,0
5/26/2010,96,2,16,8,"Scotland is beautiful. I spent several years looking for the right place, visiting over  sites, and this is absolutely the right place!",0.5574,0.636,0.5967,1,0,0
5/27/2010,97,1,672,1707,"The Dunes here are amazing, and they're how I learned about geomorphology, which is the study of movement landforms. We've had a great trip",0.836,0.836,0.836,1,1,1
5/28/2010,98,1,52,32,"Wishing everyone a Happy Memorial Day Weekend, with a special thought for all the veterans who have done so much for our freedom.",0.91,0.91,0.91,1,0,1
6/2/2010,99,1,29,10,I'll be turning the table on Larry King this Saturday night. I'll be interviewing him in honor of the th Anniversary of his show.,0.4939,0.4939,0.4939,1,1,1
6/4/2010,100,2,12,3,"Be sure to watch the Larry King Show tomorrow night on CNN,  p.m. I'll be the host, Larry the guest. ",0.3182,0.8271,0.57265,1,0,0
